2201	赵一	人工智能	2203001	1101
2202	钱二	人工智能	2203001	1101
2203	孙三	物联网	2203001	1101
2204	李五	计算机科学	2203001	1102
2205	周六	计算机科学	2203001	1102
2206	吴七	生物信息	2203002	1103
2207	郑八	信息安全	2203002	1103
2208	王八	软件工程	2203002	1103
2209	冯九	软件工程	2203002	1103
2210	严十	信息安全	2203002	4101
2211	陈一	数据科学	2203003	4101
2212	褚二	计算机科学	2203003	4102
2213	卫三	计算机科学	2203003	4101
2214	蒋四	数据科学	2203003	4102
2215	沈五	人工智能	2203003	2101
2216	韩六	软件工程	2203004	2101
2217	杨七	信息安全	2203004	2101
2218	朱八	物联网	2203004	3102
2219	尤九	信息安全	2203004	3102
2220	许十	信息安全	2203004	3102
